CUST_NO,간식류,건강식품,농산물,수산물,식사류/반찬,육류,음료,주류
17,2.431451612903226,1.8333333333333333,2.6832298136645965,1.8928571428571428,2.857142857142857,1.9464285714285714,3.72,3.018867924528302
18,2.0301204819277108,3.090909090909091,3.287128712871287,2.303030303030303,4.214285714285714,3.227272727272727,2.380952380952381,4.375
19,2.1241379310344826,1.6666666666666667,1.5598086124401913,1.2307692307692308,1.5,1.8571428571428572,3.3076923076923075,2.75
20,2.76140350877193,1.7058823529411764,2.696296296296296,2.7419354838709675,2.2222222222222223,1.509090909090909,3.216666666666667,3.7777777777777777
21,3.9130434782608696,5.0,3.6103092783505155,2.826771653543307,2.708542713567839,2.7547169811320753,3.5216216216216214,3.9571428571428573
22,1.3895131086142323,1.0,2.9159663865546217,1.9230769230769231,5.0,2.8333333333333335,2.0454545454545454,
23,2.606382978723404,1.146341463414634,2.179611650485437,1.619047619047619,2.1666666666666665,3.3333333333333335,2.840909090909091,2.9615384615384617
24,3.7,1.0,2.8186528497409324,3.6315789473684212,3.0384615384615383,4.2631578947368425,3.160377358490566,
25,2.1614349775784754,1.0,3.608695652173913,2.875,3.857142857142857,3.6666666666666665,3.08,3.5
26,2.2944444444444443,1.0,3.1877729257641922,2.0952380952380953,2.8333333333333335,1.4615384615384615,3.595744680851064,2.9
27,2.3852813852813854,1.131578947368421,2.4661654135338344,1.646341463414634,3.2,2.5714285714285716,2.3333333333333335,3.5
28,4.489270386266094,2.75,4.272401433691757,4.03030303030303,4.067164179104478,4.04093567251462,4.170212765957447,4.666666666666667
29,3.193877551020408,2.4166666666666665,3.52,4.142857142857143,3.4651162790697674,2.5757575757575757,3.025,2.5
30,2.419776119402985,2.727272727272727,2.9854689564068693,2.64,3.5090909090909093,3.1538461538461537,3.822314049586777,4.8
31,3.4095238095238094,2.0,2.9097222222222223,2.2857142857142856,3.6097560975609757,2.4166666666666665,4.147286821705427,4.896551724137931
32,2.431111111111111,1.75,3.2979127134724857,2.418918918918919,3.6236559139784945,2.5,3.1027397260273974,
33,4.670250896057348,4.0,4.168521462639109,4.647668393782383,4.293577981651376,3.74,4.197718631178708,4.833333333333333
34,2.8798076923076925,,3.2715654952076676,1.9206349206349207,3.309734513274336,1.4761904761904763,2.0217391304347827,4.533333333333333
35,1.9401709401709402,1.75,2.5331491712707184,2.3452380952380953,1.8125,2.673076923076923,3.475,4.473684210526316
36,2.0984848484848486,1.3,3.0233644859813085,1.898989898989899,2.425531914893617,2.9661016949152543,2.2083333333333335,4.5
37,2.2130750605326877,1.2857142857142858,3.3220338983050848,2.34375,1.6785714285714286,3.5531914893617023,2.2566844919786098,4.214285714285714
38,3.7051282051282053,5.0,4.155313351498638,3.6857142857142855,2.9684684684684686,2.863905325443787,3.6064139941690962,3.1
39,2.156862745098039,1.75,2.4716981132075473,1.5517241379310345,2.0,1.7,2.210526315789474,
40,3.173469387755102,4.0,4.142857142857143,3.0144927536231885,3.782608695652174,3.4285714285714284,3.3684210526315788,3.5
41,1.5157894736842106,1.8333333333333333,2.425438596491228,3.5,1.9259259259259258,5.0,3.054054054054054,3.769230769230769
42,4.292096219931271,3.142857142857143,3.9691176470588236,3.455223880597015,3.764044943820225,3.4269662921348316,4.080882352941177,5.0
43,4.541666666666667,4.5,4.121387283236994,3.5762711864406778,4.198198198198198,3.466019417475728,4.464285714285714,5.0
44,2.0388349514563107,1.5,3.5742574257425743,1.4210526315789473,1.4,2.15,2.0,
45,2.037037037037037,,3.1359223300970873,2.5454545454545454,4.428571428571429,3.0833333333333335,3.1666666666666665,4.571428571428571
46,1.3480176211453745,,2.3181818181818183,1.2727272727272727,2.0434782608695654,1.5,3.076923076923077,3.4545454545454546
47,2.992063492063492,3.75,4.035532994923858,2.9942528735632186,3.311111111111111,2.836734693877551,3.8677685950413223,5.0
48,2.973684210526316,1.894736842105263,1.9513513513513514,1.8,5.0,,1.7857142857142858,1.7142857142857142
49,1.877659574468085,4.0,2.326388888888889,1.7142857142857142,1.4285714285714286,1.3125,2.2941176470588234,3.24
50,2.8815261044176705,1.25,3.9975308641975307,2.9152542372881354,2.106382978723404,2.9913793103448274,3.782051282051282,5.0
51,4.230769230769231,3.5384615384615383,3.7810650887573964,3.0,3.65,3.311320754716981,4.032432432432432,4.194444444444445
52,2.6925,,3.0159680638722555,2.230769230769231,1.7272727272727273,2.433333333333333,3.75,4.615384615384615
53,1.8546099290780143,3.0,3.0296610169491527,2.0,1.4137931034482758,2.0,2.1372549019607843,3.7058823529411766
54,3.3142857142857145,1.4545454545454546,2.8015873015873014,3.0,1.9523809523809523,,4.005050505050505,3.0
55,4.14375,,3.7043478260869565,3.6842105263157894,3.1702127659574466,2.923076923076923,4.161993769470405,4.666666666666667
56,1.7813953488372094,,2.4363636363636365,2.1333333333333333,3.25,1.6818181818181819,2.888888888888889,5.0
57,4.503018108651911,,4.360919540229885,4.032258064516129,3.392,3.6610169491525424,4.164451827242525,4.375
58,2.832167832167832,1.25,3.161290322580645,3.2,2.5,2.0136986301369864,3.4285714285714284,4.964285714285714
59,2.3698630136986303,,2.727688787185355,2.9166666666666665,1.9528301886792452,2.606060606060606,2.96,
60,2.4968152866242037,1.6666666666666667,3.4782608695652173,2.5846153846153848,2.2098214285714284,3.375,3.3529411764705883,2.8444444444444446
61,2.516,3.4,3.517766497461929,2.224852071005917,1.8333333333333333,3.475177304964539,4.65,5.0
62,2.1253918495297808,,3.6444444444444444,2.315068493150685,2.566666666666667,3.27027027027027,2.8484848484848486,2.2666666666666666
63,3.7782101167315174,2.3333333333333335,3.8369565217391304,2.2127659574468086,2.3333333333333335,3.172043010752688,3.4285714285714284,4.666666666666667
64,4.39344262295082,5.0,3.9884615384615385,4.483870967741935,4.127868852459017,4.0476190476190474,4.195121951219512,
65,2.767605633802817,1.5,3.057046979865772,2.477272727272727,2.3285714285714287,2.6481481481481484,2.75,3.769230769230769
66,3.310112359550562,,3.613682092555332,3.3076923076923075,3.0380434782608696,3.1,3.1181434599156117,3.6206896551724137
67,4.423529411764706,4.666666666666667,4.114800759013283,4.125,3.665137614678899,4.409090909090909,4.468468468468468,4.285714285714286
68,2.473684210526316,3.1666666666666665,3.9027431421446384,2.888888888888889,2.8962264150943398,2.934065934065934,3.0795454545454546,4.375
69,4.460154241645244,5.0,4.624621594349143,4.481481481481482,3.656967840735069,3.9029649595687332,4.653444676409186,4.957746478873239
70,3.112727272727273,,4.356643356643357,4.4,3.85,2.7142857142857144,2.6153846153846154,4.17948717948718
71,4.615942028985507,3.6,4.458204334365325,3.918032786885246,3.7641509433962264,4.6415094339622645,4.457013574660634,
72,3.8333333333333335,4.0,3.5528455284552845,2.8115942028985508,3.870748299319728,3.430379746835443,4.2875,3.857142857142857
73,2.186046511627907,3.0,2.75,1.5,2.2941176470588234,2.2857142857142856,2.736842105263158,2.1666666666666665
74,1.7733990147783252,,2.6777777777777776,1.6666666666666667,1.467741935483871,2.5,1.836734693877551,3.727272727272727
75,3.9285714285714284,,3.8947368421052633,3.0,4.0,3.3333333333333335,3.1069958847736627,5.0
76,3.1139240506329116,2.0,4.073825503355705,2.942857142857143,2.8181818181818183,2.657142857142857,3.735632183908046,4.947368421052632
77,2.204878048780488,2.6666666666666665,2.846547314578005,2.1320754716981134,2.831858407079646,3.6666666666666665,1.9333333333333333,5.0
78,1.445945945945946,1.0,1.7762557077625571,1.5535714285714286,1.8571428571428572,2.3846153846153846,3.5,5.0
79,3.0793650793650795,3.857142857142857,3.8324324324324324,3.2261904761904763,3.4682539682539684,3.5789473684210527,4.139817629179332,4.8
80,4.146478873239436,4.0,4.353711790393013,4.311827956989247,3.860215053763441,3.6809338521400776,4.683501683501683,4.666666666666667
81,2.157051282051282,,2.9101123595505616,1.9230769230769231,4.2,3.0,3.125,5.0
82,2.45625,4.0,2.9660493827160495,2.263157894736842,3.0,3.0,2.1184210526315788,3.619047619047619
83,2.5295698924731185,2.375,2.805084745762712,2.064516129032258,3.1538461538461537,1.619047619047619,3.238095238095238,4.828571428571428
84,1.537037037037037,,1.951219512195122,1.0909090909090908,1.3333333333333333,3.0,2.608695652173913,4.375
85,2.7570093457943927,1.5833333333333333,3.2158054711246202,2.0441176470588234,2.175,3.391304347826087,2.5161290322580645,3.85
86,3.4014598540145986,2.75,3.925632911392405,3.0962566844919786,3.2383177570093458,2.7,3.919191919191919,3.7131474103585655
87,2.3851851851851853,1.4,2.948453608247423,2.142857142857143,1.6666666666666667,2.75,2.48,4.277777777777778
88,2.5016835016835017,2.611111111111111,3.3992740471869327,2.8947368421052633,2.7079646017699117,2.5306122448979593,3.953271028037383,3.9166666666666665
89,3.481651376146789,3.75,4.183723797780518,4.008928571428571,3.746153846153846,4.318181818181818,3.8636363636363638,4.0
90,1.6379310344827587,,2.3841463414634148,1.196078431372549,3.5,1.625,,1.4
91,2.475336322869955,4.0,2.3629032258064515,2.8421052631578947,1.875,3.35,3.473684210526316,4.0
92,2.61139896373057,2.0,2.8642857142857143,1.9578947368421054,2.3482142857142856,2.1666666666666665,3.3442622950819674,4.703703703703703
93,1.4273504273504274,1.6,2.2,1.528301886792453,1.4647887323943662,2.6774193548387095,2.5,5.0
94,2.4169611307420493,1.6129032258064515,2.9365853658536585,1.9787234042553192,2.3488372093023258,2.5113636363636362,3.2950819672131146,4.0
95,4.236533957845433,4.594594594594595,4.041450777202073,3.9649122807017543,4.076388888888889,3.3392857142857144,4.26241134751773,5.0
96,2.4615384615384617,1.4,2.2490118577075098,1.5238095238095237,2.1818181818181817,1.606060606060606,1.8461538461538463,2.4827586206896552
97,3.2080745341614905,3.0,3.4232365145228214,3.3333333333333335,3.3469387755102042,2.9591836734693877,3.758992805755396,3.3
98,2.097560975609756,,2.3081967213114756,2.547169811320755,2.1875,1.8717948717948718,2.6129032258064515,4.188235294117647
99,2.235294117647059,1.0,2.9537037037037037,2.392857142857143,2.7551020408163267,2.4915254237288136,3.2244897959183674,3.1875
100,2.5304878048780486,1.0,3.311023622047244,2.25,2.5555555555555554,2.1,2.75,5.0
101,2.95970695970696,5.0,3.779310344827586,2.9714285714285715,3.0,3.8857142857142857,3.324200913242009,5.0
102,3.009478672985782,3.75,3.7790841584158414,3.2131147540983607,3.3564356435643563,3.2045454545454546,3.7524271844660193,4.6
103,2.306451612903226,,4.3604651162790695,4.181818181818182,4.142857142857143,3.2285714285714286,4.115987460815047,
104,4.01007556675063,4.571428571428571,4.35548686244204,3.7417218543046356,3.6062846580406656,3.064516129032258,4.472527472527473,3.9375
105,3.910569105691057,4.875,3.813008130081301,3.121387283236994,3.3347457627118646,2.625,3.68359375,4.375
106,2.1555555555555554,1.75,3.2513966480446927,2.4571428571428573,3.2222222222222223,3.4038461538461537,3.65,4.333333333333333
107,2.132947976878613,2.0,3.1813471502590676,2.1956521739130435,3.5,2.2295081967213113,3.210526315789474,4.2
108,3.7685185185185186,2.789473684210526,3.3501683501683504,2.25,3.263157894736842,3.1794871794871793,3.7777777777777777,4.235294117647059
109,4.415430267062314,1.0,4.27720207253886,4.134615384615385,3.955223880597015,3.6491228070175437,4.252631578947368,4.514285714285714
110,3.021978021978022,2.0,3.641552511415525,2.3282442748091605,2.84,2.8596491228070176,3.4653465346534653,4.455357142857143
111,4.885294117647059,,3.730769230769231,3.869565217391304,2.979381443298969,2.2413793103448274,4.948936170212766,4.090909090909091
112,2.5454545454545454,1.5,2.43,1.8571428571428572,2.625,2.122448979591837,3.761904761904762,3.2222222222222223
113,2.2083333333333335,2.0,2.94672131147541,2.1,2.106060606060606,1.9772727272727273,2.7241379310344827,4.411764705882353
114,2.3454545454545452,1.0,2.8801169590643276,2.8405797101449277,3.0238095238095237,1.3529411764705883,4.2,5.0
115,2.1216216216216215,2.0,2.5153061224489797,1.3636363636363635,2.3846153846153846,2.0,2.3015873015873014,3.0
116,3.7976878612716765,,4.279538904899136,4.258426966292135,3.857142857142857,4.064814814814815,4.3962765957446805,4.944099378881988
117,2.613981762917933,2.0833333333333335,3.2587155963302754,2.4651162790697674,3.3076923076923075,4.083333333333333,3.7142857142857144,4.575757575757576
118,2.027586206896552,1.0909090909090908,2.5,2.234042553191489,3.0,1.7058823529411764,3.6923076923076925,4.0
119,2.3520408163265305,3.0,3.50561797752809,2.2096774193548385,3.2162162162162162,2.557377049180328,3.3870967741935485,5.0
120,2.9460580912863072,,3.396551724137931,2.2857142857142856,2.2916666666666665,4.2592592592592595,3.8333333333333335,4.888888888888889
121,1.949090909090909,1.0833333333333333,3.7443181818181817,1.9545454545454546,2.1739130434782608,2.8048780487804876,3.22972972972973,3.6666666666666665
122,2.4782608695652173,2.7,2.730769230769231,2.6769230769230767,3.080808080808081,3.0,3.369047619047619,3.6
123,3.861788617886179,3.7142857142857144,3.9893238434163703,3.2916666666666665,3.533333333333333,3.346590909090909,4.757042253521127,5.0
124,2.417910447761194,3.1666666666666665,3.1739130434782608,2.34375,3.2903225806451615,3.15,3.3714285714285714,3.4705882352941178
125,2.1379310344827585,5.0,2.5670498084291187,2.525,2.090909090909091,3.074074074074074,2.5,4.625
126,3.670391061452514,2.5714285714285716,4.0554371002132195,4.053333333333334,3.847560975609756,3.730337078651685,3.229090909090909,3.5
127,3.203252032520325,1.5,3.136842105263158,2.6666666666666665,3.0588235294117645,3.0,4.0,5.0
128,4.0,4.666666666666667,3.893470790378007,3.877551020408163,3.8055555555555554,2.1186440677966103,3.119047619047619,4.434782608695652
129,4.277777777777778,5.0,3.5446808510638297,3.4375,3.849056603773585,3.3692307692307693,3.5396825396825395,3.75
130,2.0,2.0,2.861111111111111,2.018867924528302,2.2857142857142856,2.292682926829268,2.3157894736842106,2.34375
131,3.512437810945274,2.5,3.85997171145686,2.9669421487603307,3.188976377952756,3.0985915492957745,4.161137440758294,4.809523809523809
132,4.276363636363636,3.6666666666666665,4.36036036036036,4.119658119658119,4.401662049861496,3.9130434782608696,3.6962025316455698,
133,2.154028436018957,1.5833333333333333,2.8353909465020575,1.972972972972973,1.7246376811594204,2.5454545454545454,3.85,3.3
134,2.4,,3.925531914893617,2.413793103448276,4.222222222222222,2.8421052631578947,3.0625,4.0
135,3.446327683615819,2.0,3.649805447470817,2.730769230769231,3.2244897959183674,2.5,3.183673469387755,4.157894736842105
136,2.3304347826086955,,3.0422535211267605,1.7714285714285714,1.75,2.375,3.857142857142857,3.8333333333333335
137,2.625,1.0,3.6096866096866096,2.55,2.8333333333333335,3.215686274509804,3.7318840579710146,3.9047619047619047
138,2.0930232558139537,5.0,3.0778443113772456,3.3333333333333335,2.8548387096774195,3.3684210526315788,2.7222222222222223,3.2413793103448274
139,2.645614035087719,2.6666666666666665,2.9714285714285715,2.671232876712329,2.5234375,2.85,4.354260089686099,3.8260869565217392
140,1.9132947976878614,1.5151515151515151,2.1871345029239766,1.5384615384615385,4.0,3.4827586206896552,2.7083333333333335,3.5
141,4.589403973509934,,4.2485549132947975,4.333333333333333,4.375,4.091666666666667,4.266365688487585,4.809523809523809
142,5.0,,,,,,,
143,3.9879518072289155,4.428571428571429,4.419753086419753,3.933333333333333,4.009389671361502,4.306451612903226,4.020304568527918,
144,2.657068062827225,,3.5486842105263157,3.31986531986532,2.7149253731343284,3.320945945945946,2.632867132867133,4.363636363636363
145,1.39375,1.625,2.36046511627907,1.375,1.7037037037037037,2.575,2.8275862068965516,3.5714285714285716
146,1.654867256637168,1.6,2.1666666666666665,2.142857142857143,,2.0,1.3333333333333333,2.0
147,3.00253807106599,3.8,2.804081632653061,1.8717948717948718,2.357142857142857,2.3846153846153846,3.740740740740741,3.392857142857143
148,4.154285714285714,,4.2407407407407405,4.564705882352941,3.9324324324324325,4.2745098039215685,4.843373493975903,4.5625
149,2.664335664335664,2.5,2.406862745098039,2.081081081081081,3.0833333333333335,2.64,4.333333333333333,4.333333333333333
150,3.7770114942528736,3.5,4.392947103274559,2.9074074074074074,2.988929889298893,3.076923076923077,4.207272727272727,3.5
151,3.188191881918819,2.0,3.588516746411483,2.3241758241758244,2.992481203007519,2.130434782608696,3.888888888888889,4.411764705882353
152,1.8518518518518519,2.1176470588235294,3.8738170347003154,3.6129032258064515,2.857142857142857,2.918918918918919,2.972972972972973,3.0
153,3.738578680203046,4.0,3.5670103092783507,2.2903225806451615,3.0384615384615383,3.6,4.785714285714286,4.8807339449541285
154,1.5329512893982808,1.0,3.0795454545454546,3.4,2.21875,2.2,4.0,
155,2.109375,2.3333333333333335,2.3908794788273617,2.3,1.9666666666666666,2.72,3.4545454545454546,3.9565217391304346
156,2.5055555555555555,1.5625,2.419512195121951,2.019047619047619,3.909090909090909,1.9173553719008265,2.2,3.05
157,2.941860465116279,,3.871212121212121,2.1914893617021276,3.2096774193548385,3.380952380952381,3.712328767123288,4.9375
158,2.503846153846154,3.6,3.427710843373494,2.3333333333333335,3.6423357664233578,3.5,4.0,4.062111801242236
159,2.25,,3.689655172413793,2.5625,3.0,2.9,3.857142857142857,5.0
160,2.438423645320197,2.6666666666666665,3.135693215339233,2.274193548387097,2.6777777777777776,3.3125,3.4285714285714284,2.8
161,1.393939393939394,3.142857142857143,2.323529411764706,1.8571428571428572,2.75,1.94,1.8,4.0
162,2.789473684210526,3.0,3.5018050541516246,2.8955223880597014,3.1204819277108435,1.9761904761904763,3.7222222222222223,3.48
163,3.5584905660377357,,4.204494382022472,3.9583333333333335,3.8275862068965516,3.367741935483871,4.351648351648351,4.7
164,1.4,1.5714285714285714,3.786363636363636,3.2238805970149254,3.409090909090909,2.6666666666666665,4.260869565217392,3.404255319148936
165,3.390625,2.4,3.5942028985507246,3.0,2.8333333333333335,3.206896551724138,3.9523809523809526,4.5
166,2.7633136094674557,1.9090909090909092,2.556756756756757,2.0,3.1333333333333333,3.0,3.6875,3.1470588235294117
167,3.3259911894273126,1.0,2.6405797101449275,2.3636363636363638,1.5616438356164384,2.7857142857142856,2.533333333333333,3.375
168,2.0738636363636362,1.2222222222222223,3.127710843373494,1.7142857142857142,2.5753424657534247,2.6956521739130435,3.395348837209302,3.3529411764705883
169,4.0,3.75,4.066831683168317,3.7394957983193278,4.065573770491803,3.288135593220339,4.686440677966102,5.0
170,4.258397932816537,5.0,3.527863777089783,3.5,3.517730496453901,3.86046511627907,4.1022727272727275,4.142857142857143
171,3.1872340425531913,,3.4444444444444446,1.75,3.7142857142857144,2.6153846153846154,4.12280701754386,3.142857142857143
172,2.2362869198312234,2.0,3.236940298507463,2.26027397260274,2.1166666666666667,2.097674418604651,3.2830188679245285,4.235294117647059
173,4.256013745704467,4.0,4.287414965986395,3.5789473684210527,4.244604316546763,4.079545454545454,4.413793103448276,5.0
174,1.4,,3.1666666666666665,,,4.0,1.0,5.0
175,4.0148809523809526,4.745901639344262,4.371689497716895,3.8410041841004183,3.365979381443299,3.1985559566787005,3.6533996683250414,4.0
176,4.482300884955753,1.0,3.9127789046653145,4.043478260869565,3.2666666666666666,4.160493827160494,4.165492957746479,5.0
177,1.63013698630137,2.0,3.219178082191781,2.1333333333333333,1.7272727272727273,2.161290322580645,2.4444444444444446,4.5
178,4.125523012552302,3.0,3.876543209876543,2.8955223880597014,3.4523809523809526,3.1724137931034484,3.1846153846153844,
179,2.156996587030717,1.0,2.853717026378897,3.1538461538461537,2.3048780487804876,2.2873563218390807,2.857142857142857,4.571428571428571
180,2.4512820512820515,1.7058823529411764,1.6755555555555555,1.6666666666666667,2.5,2.75,2.75,2.0
181,1.978813559322034,3.0,3.3947368421052633,2.6,1.8444444444444446,2.019230769230769,2.526315789473684,4.166666666666667
182,2.514705882352941,2.5588235294117645,3.186500888099467,2.4,2.5596330275229358,2.1523809523809523,3.4166666666666665,3.1818181818181817
183,4.259541984732825,3.4482758620689653,4.119278779472954,3.607594936708861,3.851528384279476,3.9689119170984455,4.372881355932203,4.205128205128205
184,2.4263565891472867,1.0,3.2,2.6666666666666665,3.6,3.217391304347826,3.4347826086956523,4.6
185,3.811989100817439,3.4285714285714284,3.637223974763407,3.1454545454545455,3.1794871794871793,2.873015873015873,3.533333333333333,3.4782608695652173
186,2.732142857142857,1.8387096774193548,2.995423340961098,2.4047619047619047,2.7260273972602738,3.1904761904761907,3.73,2.380952380952381
187,2.814159292035398,3.0,2.7152777777777777,2.090909090909091,1.6923076923076923,3.125,3.7037037037037037,4.0
188,4.522417153996101,1.0,3.8653846153846154,4.32890365448505,3.5860655737704916,3.85,4.65650406504065,5.0
189,2.158273381294964,2.0,2.423076923076923,1.626086956521739,2.8484848484848486,1.6835443037974684,2.3793103448275863,3.625
190,2.156862745098039,1.7777777777777777,2.125,2.218390804597701,2.7857142857142856,2.5526315789473686,2.576923076923077,2.9166666666666665
191,1.6956521739130435,1.8333333333333333,3.375,1.3333333333333333,4.5,1.9411764705882353,1.0,5.0
192,2.8292682926829267,1.2727272727272727,2.6819787985865724,2.6666666666666665,2.764705882352941,3.7142857142857144,2.7705627705627704,2.9166666666666665
193,3.926829268292683,3.875,3.43609022556391,2.787878787878788,3.213636363636364,3.2916666666666665,4.050167224080267,4.731343283582089
194,3.911764705882353,5.0,4.2435064935064934,3.7564102564102564,3.7255434782608696,3.988372093023256,4.031948881789138,4.2
195,4.092436974789916,3.6,3.769230769230769,3.9661016949152543,3.869565217391304,3.0943396226415096,4.45945945945946,
196,3.2393617021276597,4.25,4.043859649122807,2.4050632911392404,2.754385964912281,3.315068493150685,3.7444444444444445,3.423076923076923
197,3.422360248447205,2.0,3.869109947643979,3.5294117647058822,3.6885245901639343,2.8727272727272726,4.52,
198,3.835227272727273,3.3333333333333335,4.541666666666667,4.314285714285714,4.488188976377953,3.7674418604651163,4.2792792792792795,5.0
199,2.466666666666667,,3.734042553191489,2.8823529411764706,2.3225806451612905,4.2,2.2903225806451615,2.7857142857142856
200,3.9683544303797467,4.0,4.335180055401662,4.5,3.466666666666667,4.0,3.8592057761732854,5.0
201,1.9113924050632911,1.5416666666666667,2.2162162162162162,1.1408450704225352,1.7307692307692308,1.0483870967741935,2.8,3.0
202,2.359550561797753,2.0,3.7526753864447087,1.8823529411764706,2.1818181818181817,4.203007518796992,3.326530612244898,3.625
203,4.436046511627907,4.0,3.971518987341772,3.7027027027027026,4.026845637583893,3.7285714285714286,3.3815789473684212,4.0
204,4.218390804597701,4.5,4.2395209580838324,3.9263157894736844,3.511904761904762,2.9096385542168677,4.147435897435898,4.0
205,3.937007874015748,4.375,3.935,3.7757009345794392,3.3473684210526318,3.161290322580645,3.144628099173554,4.3125
206,4.2,2.2916666666666665,4.415,3.6379310344827585,3.9794520547945207,3.940928270042194,3.8704663212435233,4.7
207,3.7058823529411766,3.0,3.951983298538622,3.267605633802817,3.2256944444444446,4.089285714285714,4.537634408602151,
208,3.227272727272727,2.0,3.3870967741935485,2.217391304347826,3.3181818181818183,4.2,3.4285714285714284,3.1333333333333333
209,2.5460526315789473,3.0,4.026315789473684,2.7777777777777777,3.5555555555555554,3.782608695652174,4.338983050847458,4.625
210,4.203947368421052,4.0,3.4601769911504423,4.566265060240964,4.670103092783505,4.160377358490566,4.678571428571429,4.444444444444445
211,2.803370786516854,2.0,2.272,1.8518518518518519,3.0,2.0,2.5,3.4482758620689653
212,3.676470588235294,,4.194960212201591,4.352459016393443,3.025,2.3025641025641024,3.3804878048780487,3.5
213,4.239130434782608,4.724137931034483,4.28960223307746,3.8229813664596275,3.6486988847583643,3.401639344262295,3.848563968668407,4.625
214,3.763888888888889,,3.7972350230414746,2.1864406779661016,3.3,2.36046511627907,3.765432098765432,4.274725274725275
215,3.7552083333333335,5.0,4.376086956521739,3.7596153846153846,3.6580310880829017,3.721518987341772,3.775456919060052,3.772727272727273
216,3.9295154185022025,4.0,4.193116634799235,3.263157894736842,3.064748201438849,3.0930232558139537,4.089285714285714,3.3333333333333335
217,3.3707865168539324,1.8571428571428572,2.8468085106382977,2.1818181818181817,2.5,2.3333333333333335,3.1515151515151514,4.488888888888889
218,1.7638888888888888,4.0,2.4444444444444446,1.9444444444444444,2.15,1.9714285714285715,3.1578947368421053,4.6
219,2.4292929292929295,1.7142857142857142,3.473684210526316,3.1794871794871793,3.6451612903225805,2.9176470588235293,3.4375,3.28
220,4.098181818181819,4.125,3.88,3.107981220657277,3.5742574257425743,3.627551020408163,3.7523809523809524,3.8421052631578947
221,3.432098765432099,2.36,4.040948275862069,3.4827586206896552,3.1067961165048543,3.3285714285714287,3.520661157024793,4.55
222,2.1255230125523012,2.0,3.568548387096774,2.475,1.9036144578313252,2.0980392156862746,3.2465753424657535,3.6666666666666665
223,1.8551724137931034,1.3076923076923077,1.9725274725274726,1.7692307692307692,2.727272727272727,2.642857142857143,2.111111111111111,3.4074074074074074
224,1.4036697247706422,1.0,3.6481481481481484,2.411764705882353,2.2857142857142856,2.272727272727273,3.3529411764705883,1.6666666666666667
225,2.0675675675675675,1.6785714285714286,3.52,2.125,2.619047619047619,2.3333333333333335,2.727272727272727,2.6666666666666665
226,2.267857142857143,4.333333333333333,3.1684491978609626,2.35,2.693548387096774,3.2083333333333335,3.1774193548387095,2.75
227,4.579606440071556,,4.3856749311294765,4.421052631578948,3.9784172661870505,4.232323232323233,4.655405405405405,5.0
228,3.905511811023622,4.333333333333333,4.130260521042084,3.3846153846153846,3.634782608695652,2.832167832167832,3.8055555555555554,4.734104046242774
229,2.3333333333333335,,2.465940054495913,2.0980392156862746,1.725,2.5135135135135136,2.7,4.647058823529412
230,2.907103825136612,1.6666666666666667,2.683206106870229,2.760869565217391,2.5,2.8846153846153846,4.066666666666666,4.691056910569106
231,4.487179487179487,1.8,4.272058823529412,4.282051282051282,4.102325581395349,4.082644628099174,3.9315068493150687,4.142857142857143
232,4.741279069767442,5.0,4.502369668246446,4.535211267605634,4.530864197530864,4.7727272727272725,4.590828924162257,4.704156479217604
