,제휴사,대분류코드,중분류코드,소분류코드,중분류명,소분류명,간략분류
41,B,04,0402,B040204,잡곡류,잡곡기타,농산물
42,B,04,0402,B040205,잡곡류,혼합잡곡,농산물
43,B,04,0402,B040206,잡곡류,친환경잡곡,농산물
44,B,04,0402,B040207,잡곡류,벌크잡곡,농산물
45,B,04,0403,B040301,즉석도정미,즉석도정미,농산물
46,B,04,0403,B040302,즉석도정미,친환경도정미,농산물
47,B,04,0404,B040401,가공양곡,양곡가공,농산물
48,B,05,0501,B050101,잎채소,시금치,농산물
49,B,05,0501,B050102,잎채소,상추,농산물
50,B,05,0501,B050103,잎채소,미나리,농산물
51,B,05,0501,B050104,잎채소,부추,농산물
52,B,05,0501,B050105,잎채소,쑥갓,농산물
53,B,05,0501,B050106,잎채소,깻잎,농산물
54,B,05,0501,B050107,잎채소,얼갈이,농산물
55,B,05,0501,B050108,잎채소,아욱,농산물
56,B,05,0501,B050109,잎채소,근대,농산물
57,B,05,0501,B050110,잎채소,양배추,농산물
58,B,05,0501,B050111,잎채소,기타잎채소,농산물
59,B,05,0501,B050112,잎채소,쌈채소,농산물
60,B,05,0501,B050113,잎채소,봄동,농산물
61,B,05,0501,B050114,잎채소,죽순,농산물
62,B,05,0501,B050115,잎채소,고구마순,농산물
63,B,05,0501,B050116,잎채소,생나물,농산물
64,B,05,0501,B050117,잎채소,친환경채소(특약),농산물
65,B,05,0501,B050118,잎채소,친환경잎채소,농산물
66,B,05,0501,B050119,잎채소,온라인 잎채소,농산물
67,B,05,0502,B050201,뿌리채소,감자,농산물
68,B,05,0502,B050202,뿌리채소,고구마,농산물
69,B,05,0502,B050203,뿌리채소,당근,농산물
70,B,05,0502,B050204,뿌리채소,연근,농산물
71,B,05,0502,B050205,뿌리채소,우엉,농산물
72,B,05,0502,B050206,뿌리채소,마,농산물
73,B,05,0502,B050207,뿌리채소,기타뿌리채소,농산물
74,B,05,0503,B050301,열매채소,오이,농산물
75,B,05,0503,B050302,열매채소,고추,농산물
76,B,05,0503,B050303,열매채소,피망,농산물
77,B,05,0503,B050304,열매채소,콩류,농산물
78,B,05,0503,B050305,열매채소,옥수수,농산물
79,B,05,0503,B050306,열매채소,가지,농산물
80,B,05,0503,B050307,열매채소,기타과채류,농산물
81,B,05,0503,B050308,열매채소,애호박,농산물
82,B,05,0503,B050309,열매채소,단호박,농산물
83,B,05,0503,B050310,열매채소,기타호박,농산물
84,B,05,0503,B050311,열매채소,다다기오이,농산물
85,B,05,0503,B050312,열매채소,취청오이,농산물
86,B,05,0503,B050313,열매채소,가시오이,농산물
87,B,05,0503,B050314,열매채소,기타오이,농산물
88,B,05,0504,B050401,버섯류,건버섯,농산물
89,B,05,0504,B050402,버섯류,버섯모둠,농산물
90,B,05,0504,B050403,버섯류,친환경팽이버섯,농산물
91,B,05,0504,B050404,버섯류,표고버섯,농산물
92,B,05,0504,B050405,버섯류,일반느타리버섯,농산물
93,B,05,0504,B050406,버섯류,양송이버섯,농산물
94,B,05,0504,B050407,버섯류,새송이버섯,농산물
95,B,05,0504,B050408,버섯류,기타버섯,농산물
96,B,05,0504,B050409,버섯류,친환경참맛느타리,농산물
97,B,05,0504,B050410,버섯류,버섯류 선물세트,농산물
98,B,05,0505,B050501,샐러드채소,파프리카,농산물
99,B,05,0505,B050502,샐러드채소,양상추,농산물
100,B,05,0505,B050503,샐러드채소,브로콜리,농산물
101,B,05,0505,B050504,샐러드채소,구색양채,농산물
102,B,05,0505,B050505,샐러드채소,기타양채,농산물
103,B,05,0505,B050506,샐러드채소,즙용양채,농산물
104,B,05,0505,B050507,샐러드채소,아스파라거스,농산물
105,B,05,0505,B050508,샐러드채소,샐러드채소,농산물
106,B,05,0505,B050509,샐러드채소,구색샐러드채소,농산물
107,B,05,0505,B050510,샐러드채소,즙용샐러드채소,농산물
108,B,05,0505,B050511,샐러드채소,친환경샐러드채소,농산물
109,B,05,0505,B050512,샐러드채소,향신채소,농산물
110,B,05,0506,B050601,약초,인삼,농산물
111,A,01,0102,A010201,육류,우육,육류
112,A,01,0102,A010202,육류,돈육,육류
113,A,01,0102,A010203,육류,계육,육류
114,A,01,0102,A010204,육류,갈비세트,육류
115,A,01,0102,A010205,육류,정육세트,육류
116,A,01,0102,A010206,육류,수입육,육류
117,A,01,0102,A010207,육류,양념육,육류
118,A,01,0103,A010301,축산가공,햄,육류
119,A,01,0103,A010302,축산가공,유제품,가공식품
120,A,01,0103,A010303,축산가공,직매입,육류
121,A,01,0103,A010304,축산가공,화과자,가공식품
122,A,01,0103,A010305,축산가공,햄세트,육류
123,A,01,0103,A010306,축산가공,친환경올가,육류
124,A,01,0104,A010401,농산물,청과,농산물
125,A,01,0104,A010402,농산물,채소,농산물
126,A,01,0104,A010403,농산물,유기농채소,농산물
127,A,01,0104,A010404,농산물,농산가공,농산물
128,A,01,0104,A010405,농산물,건과,농산물
129,A,01,0104,A010406,농산물,선식(가루류),농산물
130,A,01,0104,A010407,농산물,곡물,농산물
131,A,01,0104,A010408,농산물,농산단기행사,농산물
132,A,01,0104,A010409,농산물,청과세트,농산물
133,A,01,0104,A010410,농산물,건과세트,농산물
134,A,01,0104,A010411,농산물,곶감/송이세트,농산물
135,A,01,0104,A010412,농산물,수삼/더덕세트,농산물
136,A,01,0104,A010413,농산물,친환경세트,농산물
137,A,01,0104,A010414,농산물,농산단기행사,농산물
138,A,01,0105,A010501,수산품,생선,수산물
139,A,01,0105,A010502,수산품,회,수산물
140,A,01,0105,A010503,수산품,건생선,수산물
141,A,01,0105,A010504,수산품,기타생선,수산물
142,A,01,0105,A010505,수산품,냉동식품,수산물
143,A,01,0105,A010506,수산품,냉동만두류,수산물
144,A,01,0105,A010507,수산품,굴비류,수산물
145,A,01,0105,A010508,수산품,멸치류,수산물
146,A,01,0105,A010509,수산품,안주류,수산물
147,A,01,0105,A010510,수산품,김류,수산물
148,A,01,0105,A010511,수산품,즉석구이김류,수산물
149,A,01,0105,A010512,수산품,건어물류,수산물
150,A,01,0105,A010514,수산품,건어물세트,수산물
151,A,01,0105,A010515,수산품,선어세트,수산물
152,A,01,0105,A010516,수산품,굴비세트,수산물
153,A,01,0105,A010517,수산품,안주세트,수산물
154,A,01,0105,A010518,수산품,기타건생선세트,수산물
155,A,01,0105,A010519,수산품,김세트,수산물
156,A,01,0105,A010520,수산품,멸치세트,수산물
157,A,01,0105,A010521,수산품,수산단기행사,수산물
158,A,01,0106,A010601,가공식품,한식델리,가공식품
159,A,01,0106,A010602,가공식품,일식델리,가공식품
160,A,01,0106,A010603,가공식품,서양델리,가공식품
161,A,01,0106,A010604,가공식품,에스닉푸드,가공식품
162,A,01,0106,A010605,가공식품,중식델리,가공식품
163,A,01,0106,A010606,가공식품,초밥,가공식품
164,A,01,0106,A010607,가공식품,제과제빵,가공식품
165,A,01,0106,A010608,가공식품,일반가공식품,가공식품
166,A,01,0106,A010609,가공식품,특산물행사,가공식품
167,A,01,0106,A010610,가공식품,가공선물세트,가공식품
168,A,01,0106,A010611,가공식품,케익류,가공식품
169,A,01,0106,A010612,가공식품,양과자류,가공식품
170,A,01,0106,A010613,가공식품,전문베이커리,가공식품
171,A,01,0106,A010614,가공식품,떡,가공식품
172,A,01,0106,A010615,가공식품,한과,가공식품
173,A,01,0106,A010616,가공식품,한과(세트행사),가공식품
174,A,01,0106,A010617,가공식품,양과(세트행사),가공식품
175,A,01,0106,A010618,가공식품,반찬장류세트,가공식품
176,A,01,0106,A010619,가공식품,포숑,가공식품
177,A,01,0106,A010620,가공식품,수입단기행사,가공식품
178,A,01,0106,A010621,가공식품,기타베이커리,가공식품
179,A,01,0106,A010622,가공식품,즉석.스넥(매장),가공식품
180,A,01,0106,A010623,가공식품,밥류,가공식품
181,A,01,0106,A010624,가공식품,면류,가공식품
182,A,01,0106,A010625,가공식품,패밀리레스토랑,가공식품
183,A,01,0106,A010626,가공식품,아이스크림,가공식품
184,A,01,0106,A010627,가공식품,커피숍,가공식품
185,A,01,0106,A010628,가공식품,KKD,가공식품
186,A,01,0106,A010629,가공식품,푸드코트,가공식품
187,A,01,0106,A010630,가공식품,브랑제리,가공식품
188,A,01,0106,A010631,가공식품,브랜드샵,가공식품
189,A,01,0106,A010632,가공식품,엔젤리너스,가공식품
190,A,01,0106,A010633,가공식품,롯데리아,가공식품
191,A,01,0106,A010634,가공식품,TGIF,가공식품
192,A,01,0106,A010635,가공식품,음료,가공식품
193,A,01,0106,A010636,가공식품,분식,가공식품
194,A,01,0106,A010637,가공식품,대형테넌트,가공식품
195,A,01,0106,A010638,가공식품,디저트카페,가공식품
196,A,01,0106,A010639,가공식품,양식,가공식품
197,A,01,0106,A010640,가공식품,일식,가공식품
198,A,01,0106,A010641,가공식품,한식,가공식품
199,A,01,0106,A010642,가공식품,중식,가공식품
200,A,01,0106,A010643,가공식품,패스트푸드,가공식품
201,A,01,0106,A010644,가공식품,식당가 한식,가공식품
202,A,01,0106,A010645,가공식품,식당가 중식,가공식품
203,A,01,0106,A010646,가공식품,식당가 일식,가공식품
204,A,01,0106,A010647,가공식품,식당가 양식,가공식품
205,A,01,0106,A010648,가공식품,식당가 커피숍,가공식품
206,A,01,0106,A010649,가공식품,식당가 아이스크림,가공식품
207,A,01,0106,A010650,가공식품,식당가 레스토랑,가공식품
208,A,01,0106,A010652,가공식품,생필(부대),가공식품
209,A,01,0106,A010653,가공식품,스넥(부대),가공식품
210,A,01,0106,A010654,가공식품,지방스넥(부대),가공식품
211,A,01,0106,A010655,가공식품,델리(부대),가공식품
212,A,01,0106,A010656,가공식품,레토르,가공식품
213,A,01,0107,A010701,젓갈/반찬,젓갈세트,가공식품
214,A,01,0107,A010702,젓갈/반찬,규격젓갈,가공식품
215,A,01,0107,A010703,젓갈/반찬,벌크젓갈,가공식품
216,A,01,0107,A010704,젓갈/반찬,규격김치,가공식품
217,A,01,0107,A010705,젓갈/반찬,벌크김치,가공식품
218,A,01,0107,A010706,젓갈/반찬,장류,가공식품
219,A,01,0107,A010707,젓갈/반찬,어묵,가공식품
220,A,01,0107,A010708,젓갈/반찬,가공행사,가공식품
221,A,01,0107,A010710,젓갈/반찬,즉석반찬,가공식품
222,A,01,0108,A010801,건강식품,건강식품(홍삼),가공식품
223,A,01,0108,A010802,건강식품,건강식품,가공식품
224,A,01,0108,A010803,건강식품,건강식품(비타민),가공식품
225,A,01,0109,A010901,주류,주류,주류
226,A,01,0109,A010902,주류,음료,주류
227,A,01,0109,A010903,주류,한차,주류
228,A,01,0109,A010904,주류,공병,주류
229,A,01,0109,A010905,주류,기타음료,주류
230,A,01,0110,A011001,차/커피,디저트류,음료
231,A,01,0110,A011002,차/커피,가공2단기행사,음료
232,A,01,0110,A011003,차/커피,원두커피,음료
233,A,01,0110,A011004,차/커피,수입식품,음료
246,B,09,0902,B090201,베이커리,케익,가공식품
247,B,09,0902,B090202,베이커리,페스츄리,가공식품
248,B,09,0902,B090203,베이커리,식빵,가공식품
249,B,09,0902,B090204,베이커리,과자빵,가공식품
250,B,09,0902,B090205,베이커리,페스츄리류,가공식품
251,B,09,0902,B090206,베이커리,도넛류,가공식품
252,B,09,0902,B090207,베이커리,케익,가공식품
253,B,09,0902,B090208,베이커리,기타,가공식품
254,B,09,0902,B090209,베이커리,온라인 베이커리,가공식품
255,B,09,0903,B090301,구이,꼬치,가공식품
256,B,09,0903,B090302,구이,훈제/로스트,가공식품
257,B,09,0904,B090401,튀김,일반튀김,가공식품
258,B,09,0904,B090402,튀김,치킨,가공식품
259,B,09,0905,B090501,밥류,도시락,가공식품
260,B,09,0905,B090502,밥류,김밥,가공식품
261,B,09,0905,B090503,밥류,초밥,가공식품
262,B,09,0906,B090601,구이찜조리,족발,가공식품
263,B,09,0906,B090602,구이찜조리,순대,가공식품
264,B,09,0906,B090603,구이찜조리,꼬치,가공식품
265,B,09,0906,B090604,구이찜조리,구이,가공식품
266,B,09,0907,B090701,반찬류,포장반찬,가공식품
267,B,09,0907,B090702,반찬류,김치,가공식품
268,B,09,0907,B090703,반찬류,젓갈,가공식품
269,B,09,0907,B090704,반찬류,반찬,가공식품
270,B,09,0908,B090801,대용식,선식,가공식품
271,B,09,0908,B090802,대용식,떡,가공식품
272,B,09,0909,B090901,이벤트조리,지역특산물,가공식품
273,B,09,0909,B090902,이벤트조리,떡/강정,가공식품
274,B,09,0909,B090903,이벤트조리,먹거리,가공식품
275,B,09,0910,B091001,간식조리,전통간식,가공식품
276,B,09,0910,B091002,간식조리,월드간식,가공식품
277,B,09,0911,B091101,간편조리,한식,가공식품
278,B,09,0911,B091102,간편조리,아시안,가공식품
279,B,09,0911,B091103,간편조리,음료,가공식품
280,B,09,0911,B091104,간편조리,양식,가공식품
281,B,09,0912,B091201,튀김조리,후라이드,가공식품
282,B,09,0912,B091202,튀김조리,즉석어묵,가공식품
283,B,09,0912,B091203,튀김조리,치킨,가공식품
284,B,09,0913,B091301,피자,피자,가공식품
285,B,09,0913,B091302,피자,베이크,가공식품
286,B,10,1001,B100101,냉장음료,과일음료,음료
287,B,10,1001,B100102,냉장음료,과채음료,음료
288,B,10,1001,B100103,냉장음료,냉장차음료,음료
289,B,10,1001,B100104,냉장음료,냉장커피음료,음료
290,B,10,1001,B100105,냉장음료,수입냉장음료,음료
291,B,10,1001,B100106,냉장음료,냉장음료,음료
293,B,10,1003,B100301,흰우유,기능성우유,음료
294,B,10,1003,B100302,흰우유,친환경우유,음료
295,B,10,1003,B100303,흰우유,어린이우유,음료
296,B,10,1003,B100304,흰우유,멸균흰우유,음료
297,B,10,1003,B100305,흰우유,일반흰우유,음료
298,B,10,1003,B100306,흰우유,기능성시유,음료
299,B,10,1003,B100307,흰우유,테트라시유,음료
300,B,10,1004,B100401,가공우유,과일맛우유,음료
301,B,10,1004,B100402,가공우유,커피/초코우유,음료
302,B,10,1004,B100403,가공우유,견과우유/냉장두유,음료
303,B,10,1004,B100404,가공우유,멸균가공우유,음료
304,B,10,1004,B100405,가공우유,일반가공유,음료
305,B,10,1004,B100406,가공우유,펫가공유,음료
306,B,10,1004,B100407,가공우유,테트라가공유,음료
307,B,10,1005,B100501,요구르트,마시는요구르트,음료
308,B,10,1005,B100502,요구르트,어린이/액상요구르트,음료
309,B,10,1005,B100503,요구르트,드링크요구르트,음료
310,B,10,1005,B100504,요구르트,떠먹는요구르트,음료
311,B,10,1006,B100601,유제품,치즈,가공식품
312,B,10,1006,B100602,유제품,버터/마가린,가공식품
313,B,10,1006,B100603,유제품,디저트,가공식품
314,B,10,1006,B100604,유제품,크림/연유,가공식품
315,B,10,1007,B100701,브랜드빵,일반빵류,가공식품
316,B,10,1007,B100702,브랜드빵,케익,가공식품
317,B,10,1007,B100703,브랜드빵,식빵류,가공식품
318,B,10,1007,B100704,브랜드빵,찐빵류,가공식품
319,B,10,1007,B100705,브랜드빵,패스트리,가공식품
320,B,10,1008,B100801,치즈,간식용치즈,가공식품
321,B,10,1008,B100802,치즈,슬라이스치즈,가공식품
322,B,10,1008,B100803,치즈,요리용치즈,가공식품
323,B,10,1009,B100901,디저트,냉장케익,가공식품
324,B,10,1009,B100902,디저트,젤리,가공식품
325,B,10,1009,B100903,디저트,푸딩,가공식품
326,B,10,1010,B101001,유가공,버터/마가린,가공식품
327,B,10,1010,B101002,유가공,크림연유,가공식품
328,B,11,1101,B110101,조미료,자연조미료,가공식품
329,B,11,1101,B110102,조미료,가공조미료,가공식품
330,B,11,1101,B110103,조미료,식초,가공식품
331,B,11,1101,B110104,조미료,소금,가공식품
332,B,11,1101,B110105,조미료,향신료,가공식품
333,B,11,1101,B110106,조미료,설탕,가공식품
334,B,11,1101,B110107,조미료,액젓,가공식품
335,B,11,1101,B110108,조미료,천연조미료,가공식품
336,B,11,1102,B110201,소스류,케찹,가공식품
337,B,11,1102,B110202,소스류,마요네즈,가공식품
338,B,11,1102,B110203,소스류,소스,가공식품
339,B,11,1102,B110204,소스류,음용식초,가공식품
340,B,11,1102,B110205,소스류,물엿/올리고당,가공식품
341,B,11,1102,B110206,소스류,드레싱,가공식품
342,B,11,1103,B110301,장류,간장,가공식품
343,B,11,1103,B110302,장류,고추장,가공식품
344,B,11,1103,B110303,장류,된장,가공식품
345,B,11,1103,B110304,장류,쌈장,가공식품
346,B,11,1103,B110305,장류,춘장,가공식품
347,B,11,1104,B110401,식용유지,식용유,가공식품
348,B,11,1104,B110402,식용유지,참기름,가공식품
349,B,11,1104,B110403,식용유지,기타고급유,가공식품
350,B,11,1104,B110404,식용유지,올리브유,가공식품
351,B,11,1104,B110405,식용유지,일반유,가공식품
352,B,11,1104,B110406,식용유지,카놀라유,가공식품
353,B,11,1104,B110407,식용유지,포도씨유,가공식품
354,B,11,1104,B110408,식용유지,마가린,가공식품
355,B,11,1105,B110501,조미선물세트,조미혼합세트,가공식품
356,B,11,1105,B110502,조미선물세트,식용유세트,가공식품
357,B,11,1105,B110503,조미선물세트,참기름세트,가공식품
358,B,11,1105,B110504,조미선물세트,장류세트,가공식품
359,B,11,1105,B110505,조미선물세트,식용유지세트,가공식품
360,B,11,1105,B110506,조미선물세트,기타세트,가공식품
361,B,11,1106,B110601,가루,곡물가루,농산물
362,B,11,1106,B110602,가루,농산가루,농산물
363,B,11,1106,B110603,가루,가공선식,농산물
364,B,11,1106,B110604,가루,부침/튀김가루,농산물
365,B,11,1106,B110605,가루,홈메이드믹스,농산물
366,B,11,1106,B110606,가루,제빵재료,농산물
367,B,11,1107,B110701,식자재,직영식자재,농산물
368,B,11,1107,B110702,식자재,특정식자재,농산물
369,B,11,1108,B110801,향신료,자연향신료,가공식품
370,B,11,1109,B110901,액상조미료,액젓,가공식품
371,B,11,1109,B110902,액상조미료,요리식초,가공식품
372,B,11,1109,B110903,액상조미료,음료식초,가공식품
373,B,11,1110,B111001,복합조미료,가공조미료,가공식품
374,B,11,1110,B111002,복합조미료,자연조미료,가공식품
375,B,11,1111,B111101,소금/설탕류,설탕,가공식품
376,B,11,1111,B111102,소금/설탕류,소금,가공식품
377,B,11,1111,B111103,소금/설탕류,액상과당,가공식품
378,B,11,1112,B111201,수입조미,수입소스,가공식품
379,B,11,1112,B111202,수입조미,수입유지,가공식품
380,B,11,1112,B111203,수입조미,수입장류,가공식품
381,B,11,1112,B111204,수입조미,수입조미료,가공식품
382,B,12,1201,B120101,간편조리식품,즉석반찬,가공식품
383,B,12,1201,B120102,간편조리식품,분말조리식품,가공식품
384,B,12,1201,B120103,간편조리식품,즉석밥/죽,가공식품
385,B,12,1202,B120201,라면,봉지면,가공식품
386,B,12,1202,B120202,라면,용기면,가공식품
387,B,12,1203,B120301,면류,국수,가공식품
388,B,12,1203,B120302,면류,당면,가공식품
389,B,12,1203,B120303,면류,건냉면,가공식품
390,B,12,1203,B120304,면류,생면,가공식품
391,B,12,1203,B120305,면류,파스타류,가공식품
392,B,12,1204,B120401,분유,유아푸드,가공식품
393,B,12,1204,B120402,분유,분유,가공식품
394,B,12,1204,B120403,분유,이유식,가공식품
395,B,12,1205,B120501,잼,일반잼,가공식품
396,B,12,1205,B120502,잼,과일잼,가공식품
397,B,12,1205,B120503,잼,스프레드,가공식품
398,B,12,1205,B120504,잼,프리미엄잼,가공식품
399,B,12,1206,B120601,통조림,농산물통조림,가공식품
400,B,12,1206,B120602,통조림,수산통조림,가공식품
401,B,12,1206,B120603,통조림,축산물통조림,가공식품
402,B,12,1206,B120604,통조림,과일통조림,가공식품
403,B,12,1206,B120605,통조림,참치통조림,가공식품
404,B,12,1206,B120606,통조림,채소통조림,가공식품
405,B,12,1206,B120607,통조림,온라인 통조림,가공식품
406,B,12,1207,B120701,인스턴트선물세트,통조림선물세트,가공식품
407,B,12,1207,B120702,인스턴트선물세트,혼합선물세트,가공식품
408,B,12,1208,B120801,이유식/유아간식,이유식,가공식품
409,B,12,1208,B120802,이유식/유아간식,유아과자,가공식품
410,B,12,1208,B120803,이유식/유아간식,유아기타간식,가공식품
411,B,12,1208,B120804,이유식/유아간식,유아음료,가공식품
412,B,12,1209,B120901,두유,성인두유,음료
413,B,12,1209,B120902,두유,유아두유,음료
414,B,13,1301,B130101,커피,커피크림,음료
415,B,13,1301,B130102,커피,인스턴트커피,음료
416,B,13,1301,B130103,커피,원두커피,음료
417,B,13,1301,B130104,커피,커피선물세트,음료
418,B,13,1302,B130201,차,코코아,음료
419,B,13,1302,B130202,차,녹차,음료
420,B,13,1302,B130203,차,액상차,음료
421,B,13,1302,B130204,차,티백차,음료
422,B,13,1302,B130205,차,식수용차,음료
423,B,13,1302,B130206,차,T-SHOP,음료
424,B,13,1302,B130207,차,침출차,음료
425,B,13,1302,B130208,차,분말차,음료
426,B,13,1302,B130209,차,아이스티,음료
427,B,13,1302,B130210,차,건강미용차,음료
428,B,13,1302,B130211,차,차 선물세트,음료
429,B,13,1303,B130301,건강식품,건강식품,가공식품
430,B,13,1303,B130302,건강식품,꿀,가공식품
431,B,13,1303,B130303,건강식품,홍삼,가공식품
432,B,13,1303,B130304,건강식품,비타민,가공식품
433,B,13,1303,B130305,건강식품,꿀 선물세트,가공식품
434,B,13,1303,B130306,건강식품,건강선물세트,가공식품
435,B,13,1304,B130401,담배,국산담배,주류
436,B,13,1304,B130402,담배,수입담배,주류
437,B,13,1305,B130501,인스턴트커피,믹스커피,음료
438,B,13,1305,B130502,인스턴트커피,아이스커피,음료
439,B,13,1305,B130503,인스턴트커피,용기리필커피,음료
440,B,13,1306,B130601,원두커피,분쇄원두커피,음료
441,B,13,1306,B130602,원두커피,스틱원두커피,음료
442,B,13,1306,B130603,원두커피,캡슐원두커피,음료
443,B,13,1306,B130604,원두커피,티백/드립 커피,음료
444,B,13,1306,B130605,원두커피,홀빈원두커피,음료
445,B,13,1307,B130701,커피선물세트,커피선물세트,음료
446,B,13,1308,B130801,시즌차,분말차,음료
447,B,13,1308,B130802,시즌차,아이스티,음료
448,B,13,1308,B130803,시즌차,액상차,음료
449,B,13,1308,B130804,시즌차,코코아,음료
450,B,13,1309,B130901,차선물세트,차선물세트,음료
451,B,13,1310,B131001,꿀,국산꿀,가공식품
452,B,13,1310,B131002,꿀,수입꿀,가공식품
453,B,14,1401,B140101,스낵,감자스낵,가공식품
454,B,14,1401,B140102,스낵,콘스낵,가공식품
455,B,14,1401,B140103,스낵,일반스낵,가공식품
456,B,14,1401,B140104,스낵,쌀스낵,가공식품
457,B,14,1401,B140105,스낵,기타스낵,가공식품
458,B,14,1401,B140106,스낵,온라인 스낵,가공식품
459,B,14,1402,B140201,비스켓,쿠키,가공식품
460,B,14,1402,B140202,비스켓,크래커,가공식품
461,B,14,1402,B140203,비스켓,샌드,가공식품
462,B,14,1402,B140204,비스켓,웨하스,가공식품
463,B,14,1402,B140205,비스켓,화과자,가공식품
464,B,14,1402,B140206,비스켓,스틱과자,가공식품
465,B,14,1402,B140207,비스켓,온라인 비스켓,가공식품
466,B,14,1403,B140301,파이,파이,가공식품
467,B,14,1403,B140302,파이,케이크,가공식품
468,B,14,1403,B140303,파이,온라인 파이,가공식품
469,B,14,1404,B140401,시리얼,패밀리용시리얼,가공식품
470,B,14,1404,B140402,시리얼,어린이용시리얼,가공식품
471,B,14,1404,B140403,시리얼,성인용시리얼,가공식품
472,B,14,1404,B140404,시리얼,온라인 시리얼,가공식품
473,B,14,1405,B140501,캔디,젤리,가공식품
474,B,14,1405,B140502,캔디,하드캔디,가공식품
475,B,14,1405,B140503,캔디,소프트캔디,가공식품
476,B,14,1405,B140504,캔디,토이캔디,가공식품
477,B,14,1405,B140505,캔디,워터젤리,가공식품
478,B,14,1405,B140506,캔디,팥빙수재료,가공식품
479,B,14,1405,B140507,캔디,온라인 캔디,가공식품
480,B,14,1406,B140601,초콜릿,국산초콜릿,가공식품
481,B,14,1406,B140602,초콜릿,초콜릿바,가공식품
482,B,14,1406,B140603,초콜릿,판초콜릿,가공식품
483,B,14,1406,B140604,초콜릿,쉘초콜릿,가공식품
484,B,14,1406,B140605,초콜릿,바초콜릿,가공식품
485,B,14,1406,B140606,초콜릿,코팅초콜릿,가공식품
486,B,14,1406,B140607,초콜릿,가공초콜릿,가공식품
487,B,14,1406,B140608,초콜릿,온라인 초콜릿,가공식품
488,B,14,1407,B140701,껌,일반껌,가공식품
489,B,14,1407,B140702,껌,기호껌,가공식품
490,B,14,1407,B140703,껌,기능성껌,가공식품
491,B,14,1407,B140704,껌,풍선껌,가공식품
492,B,14,1407,B140705,껌,키즈껌,가공식품
493,B,14,1408,B140801,안주,농산안주,가공식품
494,B,14,1408,B140802,안주,스넥안주,가공식품
495,B,14,1408,B140803,안주,기타안주,가공식품
496,B,14,1409,B140901,한과,기호한과,가공식품
497,B,14,1410,B141001,선물세트,과자선물세트,가공식품
498,B,14,1411,B141101,프리미엄과자,유기농과자,가공식품
499,B,14,1411,B141102,프리미엄과자,프리미엄비스켓,가공식품
500,B,14,1411,B141103,프리미엄과자,프리미엄스낵,가공식품
501,B,14,1411,B141104,프리미엄과자,프리미엄초콜릿,가공식품
502,B,14,1411,B141105,프리미엄과자,프리미엄캔디,가공식품
503,B,14,1411,B141106,프리미엄과자,프리미엄파이,가공식품
504,B,14,1412,B141201,간식용과자,간식용소시지,가공식품
505,B,14,1412,B141202,간식용과자,기타 간식용과자,가공식품
506,B,14,1412,B141203,간식용과자,맛밤류,가공식품
507,B,14,1413,B141301,수입과자,수입껌,가공식품
